variant,family,n_features,ph_mae,ph_rmse,ph_r2,ph_naive_mae,ec_mae,ec_rmse,ec_r2,ec_naive_mae,w52_ec_low_mae,w52_ec_high_mae,w52_ec_shock_mae,w52_ph_mid_mae,w52_ph_acidic_mae,w52_ph_alkaline_mae,w52_ph_jump_mae,w52_ec_balanced_mae,w52_ph_balanced_mae,w30_ec_mae,w30_ec_rmse,w30_ec_r2,w30_ec_naive_mae,w30_ec_low_mae,w30_ec_high_mae,w30_ec_shock_mae,w30_ec_balanced_mae,ho_ec_mae,ho_ec_rmse,ho_ec_r2,ho_ec_naive_mae,ho_ec_low_mae,ho_ec_high_mae,ho_ec_shock_mae,ho_ph_mid_mae,ho_ph_acidic_mae,ho_ph_alkaline_mae,ho_ph_jump_mae,ho_ec_balanced_mae,ho_ph_balanced_mae,aug17_drop_abs_err,aug17_spike_abs_err,sep21_0720_abs_err,score
option3_semi_hybrid_reference,semi_unified,44,0.2880155808224507,0.4101332426297539,0.9335097001168332,0.8768421052631579,0.1277184042186229,0.1891070064258173,0.977679564465209,0.1960771929824561,0.0992496016715337,0.3697032258688812,0.5136276482134184,0.3508060830250051,0.2598536177638844,0.2106922083241597,0.3708285745667259,0.3275268252512778,0.2980451209199438,0.1474021999386314,0.2508249007437012,0.9549537858479324,0.2467346835443037,0.111627841475533,0.3134974356601599,0.3568748291842017,0.2606667021066315,0.1942336902442989,0.3878113529151815,0.915735240334325,0.5569225,0.0892095067108517,0.6143304243780878,0.6256010130530262,0.3518366307318208,0.8348628295057932,0.1345352205308154,0.325047850171624,0.4430469813806552,0.4115706327350134,0.0419523866941147,1.5371370768608048,0.361968068301727,1.8205310448072547
option3b_semi_phshared_echybridparams,semi_unified_phshared,41,0.3112606993900073,0.4273879653285929,0.9277973851503208,0.8768421052631579,0.1277184042186229,0.1891070064258173,0.977679564465209,0.1960771929824561,0.0992496016715337,0.3697032258688812,0.5136276482134184,0.3384656858582102,0.241553138996813,0.2969277620173633,0.4229563696997205,0.3275268252512778,0.3249757391430267,0.1474021999386314,0.2508249007437012,0.9549537858479324,0.2467346835443037,0.111627841475533,0.3134974356601599,0.3568748291842017,0.2606667021066315,0.1942336902442989,0.3878113529151815,0.915735240334325,0.5569225,0.0892095067108517,0.6143304243780878,0.6256010130530262,0.3867056288048623,0.7388788825770387,0.1416006083041427,0.3364750066482386,0.4430469813806552,0.4009150315835706,0.0419523866941147,1.5371370768608048,0.361968068301727,1.8776541944723784
option3_semi_diff_features_same_params,semi_unified,44,0.2880155808224507,0.4101332426297539,0.9335097001168332,0.8768421052631579,0.1051065170585272,0.133339945937901,0.9889029389698812,0.1960771929824561,0.0978379320432865,0.166889489688073,0.1897744005828935,0.3508060830250051,0.2598536177638844,0.2106922083241597,0.3708285745667259,0.1515006074380843,0.2980451209199438,0.1682364316564511,0.2781517916572849,0.9446037046028808,0.2467346835443037,0.1291283263115669,0.3498097779005563,0.3991837735110763,0.2927072925743998,0.1936660598341623,0.3815721458505807,0.918424775431114,0.5569225,0.0834527474778496,0.6345193092594134,0.654106107156331,0.3518366307318208,0.8348628295057932,0.1345352205308154,0.325047850171624,0.4573593879645313,0.4115706327350134,0.3679573364793245,1.4128913135537076,0.3537704377607102,2.061657752517937
option3b_semi_phshared_ecsharedparams,semi_unified_phshared,41,0.3112606993900073,0.4273879653285929,0.9277973851503208,0.8768421052631579,0.1051065170585272,0.133339945937901,0.9889029389698812,0.1960771929824561,0.0978379320432865,0.166889489688073,0.1897744005828935,0.3384656858582102,0.241553138996813,0.2969277620173633,0.4229563696997205,0.1515006074380843,0.3249757391430267,0.1682364316564511,0.2781517916572849,0.9446037046028808,0.2467346835443037,0.1291283263115669,0.3498097779005563,0.3991837735110763,0.2927072925743998,0.1936660598341623,0.3815721458505807,0.918424775431114,0.5569225,0.0834527474778496,0.6345193092594134,0.654106107156331,0.3867056288048623,0.7388788825770387,0.1416006083041427,0.3364750066482386,0.4573593879645313,0.4009150315835706,0.3679573364793245,1.4128913135537076,0.3537704377607102,2.118780902183061
strict_unified_union44,strict_union_features,44,0.27832022158215564,0.3755565028427628,0.9442481964912355,0.8768421052631579,0.11902961359044491,0.1714578496750372,0.9816514322161568,0.19607719298245616,0.09936305224822603,0.28619538499930525,0.42632461467959154,0.30196390278278146,0.1780296506255366,0.2790996140525453,0.32110389763151687,0.2706276839757076,0.27004926627309506,0.1727214982470296,0.28286601849425436,0.9427100353679713,0.24673468354430375,0.11862512885291727,0.42388321329112244,0.5433240001364753,0.36194411409350497,0.31390231558567083,0.7388790806790513,0.6941195707234344,0.5569225,0.08085596679432153,1.246087710751068,1.2504946093502738,0.38161110973358137,0.918652255807642,0.19141558069270093,0.40474350402327425,0.8591460956318878,0.4741056125642996,0.8686547290587852,1.4173249359755462,0.5753171264044354,2.7451187790206473
option2_strict_weight_strong,strict_weight,35,0.2959040094920615,0.3834608698701933,0.9418766744657744,0.8768421052631579,0.1465210315537819,0.259614527116851,0.9579326256804196,0.1960771929824561,0.1092021334572743,0.4637316653740964,0.547253084018397,0.3122829139444192,0.2096144635807255,0.3020487043616318,0.3441826572199318,0.3733956276165893,0.2920321847766771,0.1880377856721723,0.322991414087583,0.9253037232679012,0.2467346835443037,0.1333991676301467,0.4417170837244341,0.5069846084981058,0.3607002866175621,0.1985240399904738,0.3688037676652061,0.9237928627533036,0.5569225,0.0882217450989278,0.6397332195566579,0.6550984752607324,0.3864545767083759,0.6769225038253122,0.1966310266393705,0.3876776509179481,0.4610178133054394,0.4119214395227517,0.6642839445079585,1.309041963991105,1.4583554618566756,3.018676130457922
option2_strict_weight_medium,strict_weight,35,0.2942054915136087,0.3999903687734453,0.9367577348346764,0.8768421052631579,0.1535098786522426,0.2798786051253565,0.951109235687478,0.1960771929824561,0.1087731947957752,0.5337716914322154,0.77389317431725,0.2975314518738268,0.2197851646417018,0.3144192742591812,0.3433160653372261,0.4721460201817469,0.293762989027984,0.1964410081653734,0.33417062079577,0.9200435451381488,0.2467346835443037,0.1323753800489826,0.4938885672771877,0.5946772485477356,0.4069803986246353,0.1963452439372876,0.3699707970424605,0.923309805427852,0.5569225,0.0911624392257938,0.6170764627832629,0.6428776162075065,0.3972312288060782,0.6828173189787543,0.1784395867981951,0.3599238643452274,0.4503721727388544,0.4046029997320637,0.6572756769456354,1.301600327601012,1.4484604096400957,3.061537527635486
option2_strict_weight_light,strict_weight,35,0.2996134755945455,0.3897833378139788,0.939944209363886,0.8768421052631579,0.1327992827374764,0.2434737716445012,0.9630008461604712,0.1960771929824561,0.1083428579997131,0.3406788930084641,0.5046392049459083,0.3036622708695061,0.1639920772443989,0.3392294149029821,0.3355743511934729,0.3178869853180285,0.28561452855259,0.181748177418747,0.3226031078704531,0.9254832177819832,0.2467346835443037,0.1316066305339671,0.4145482165266535,0.5029287618815981,0.3496945363140729,0.2014895129137649,0.3697373266681084,0.923406565708024,0.5569225,0.0924135435868813,0.6377933902212989,0.6624725318898015,0.4154091913886365,0.6790728862528108,0.2121429226896729,0.3891211318712118,0.4642264885659939,0.423936533050583,0.6783704543308018,1.452332103386201,1.451049468467334,3.116110483273616
current,strict_current,35,0.2745656359125845,0.3746853383189463,0.9445065472913948,0.8768421052631579,0.1312004023212703,0.2438527464519499,0.9628855757577576,0.1960771929824561,0.1068290406636253,0.3383569764112535,0.5003598252452596,0.2891030262673582,0.1686650120831026,0.2897904000324862,0.3198472866554711,0.3151819474400461,0.2668514312596045,0.1774705100063026,0.3119924476528305,0.9303044320442267,0.2467346835443037,0.1257842463146255,0.4174424485748035,0.5260359851414689,0.3564208933436326,0.1988939015783459,0.3787144987004945,0.919642056628542,0.5569225,0.0894364887195852,0.6367235530133886,0.66946181087135,0.3382248321175573,0.6791529947091244,0.1331427485868335,0.3112819982000374,0.4652072842014412,0.3654506434033881,0.8308910313914781,1.3950953077416148,1.457895548975313,3.216878305682659
option4_strict_flush_weight_light,strict_features_weight,40,0.3124470642278372,0.4031744528445413,0.935746859609878,0.8768421052631579,0.171662896193547,0.3174668873809501,0.937095126547894,0.1960771929824561,0.1154649065443508,0.6493458082117141,0.8521307481952486,0.319560757014301,0.2937487285103812,0.3088561718094916,0.3467554469871057,0.5389804876504378,0.3172302760803198,0.2056221921713613,0.357492037332803,0.9084939634672786,0.2467346835443037,0.1312289246204557,0.5510195058005662,0.6307378557648243,0.437662095395282,0.1813519911774576,0.3301288302274793,0.9389378832463472,0.5569225,0.0834031629790867,0.5731473039709414,0.602361527663712,0.3400494094230232,0.6558875383408216,0.209216998014599,0.3388739163920505,0.4196373315379134,0.3860069655426236,0.6234372802679435,1.4580327267881894,1.7745904206042042,3.3958237320705256
