,importance
ph0,0.20282239581834283
photo_temp_interaction,0.11440018511840938
ET0_per_hour,0.08015196174254512
transpiration_pull,0.052558870459328604
hist_salt_buildup,0.04816508499094115
hour_sin_b,0.0462001313764777
ec0_x_p48_salt,0.04545944176303148
ec0,0.0367373631807803
soil_temp_mean,0.03212170629306916
temp_x_canopy,0.02776054956170476
ec_log_anchor,0.026701660137479086
temp_trend,0.024872976939837484
soil_delta,0.021050281962118864
irr_to_et0,0.019881339370137596
hist48_irr_prevday,0.019330907871761827
rad_t1_log,0.018762176862588364
hist_dark_recent_6h,0.018644004632454646
stage_x_salt_conc,0.01741590699352792
log_ec_drive,0.015614498983443572
hist_hrs_since_fert,0.015451862796478855
fert_salt_total_t0_t1,0.01395040505860705
pre_salt_irr_ratio_24h,0.01235828719205618
salt_event_pos,0.010599092454040927
hist_irr_recent,0.009217057565139767
hist_irr_prior,0.008645032718950174
hrs_since_fert,0.00819927382582058
hour_cos_b,0.007857982133682976
salt_conc_t0_t1,0.007430852554309433
irr_after_last_salt,0.007010718701787657
gap_hours,0.00664034328390192
salt_recency_pressure,0.006606510328992186
rad_morning,0.005023809097196937
pre_salt_irr_ratio_6h,0.0047277300113850425
ET0_sum_t0_t1,0.0038208082585578836
irr_total_t0_t1,0.002224645501736126
t1_early_day,0.0015783885697218231
t1_morning_short,5.755889654558362e-06
