,ph_xgb_gain_importance,ec_xgb_gain_importance
ph0,0.245601765600596,0.014161384171950429
photo_temp_interaction,0.12882164739996244,0.05080019107205508
ET0_per_hour,0.09616968216141356,0.00951232039499009
transpiration_pull,0.05430485832603106,0.0448589010831771
hist_salt_buildup,0.04591057368355799,0.05810769018087524
hour_sin_b,0.05470658726206808,0.00868586734992704
ec0_x_p48_salt,0.01498791356733112,0.17984172380864666
ec0,0.029151072701021206,0.07019361192497038
soil_temp_mean,0.02965951717134514,0.042980190018603204
temp_x_canopy,0.02548104579822515,0.03781337381458168
ec_log_anchor,0.017684446438877413,0.06646841376823588
temp_trend,0.025375435975948102,0.022657085715960108
soil_delta,0.024124256534450876,0.007493767325663692
irr_to_et0,0.019797548320467172,0.020250865716088903
hist48_irr_prevday,0.015744905275097545,0.035145513862847144
rad_t1_log,0.016683677330236915,0.027928553704414896
hist_dark_recent_6h,0.021353266345752974,0.006695907728564727
stage_x_salt_conc,0.006066240026783847,0.06746899713240759
log_ec_drive,0.004047419033837551,0.06662640065929944
hist_hrs_since_fert,0.017411003953557998,0.006811867524599778
fert_salt_total_t0_t1,0.01681813399907259,0.0013034528994307966
pre_salt_irr_ratio_24h,0.010257282178402577,0.02162391530597169
salt_event_pos,0.012081955165270802,0.004059529560587634
hist_irr_recent,0.007778358029609955,0.015561856733753286
hist_irr_prior,0.00792908211103588,0.011802441691206584
hrs_since_fert,0.0073756021618294285,0.01183174270472172
hour_cos_b,0.004674468940264158,0.02189757230803826
salt_conc_t0_t1,0.006093169286550182,0.013330160558201702
irr_after_last_salt,0.0067696393825511505,0.008073900990018826
gap_hours,0.006097654936939159,0.00903364952164778
salt_recency_pressure,0.006108026233435383,0.008804871694203274
rad_morning,0.005132750613300385,0.004543366847977678
pre_salt_irr_ratio_6h,0.0029524741818276446,0.012556773834148311
ET0_sum_t0_t1,0.0038113689572510335,0.0038624364579177618
irr_total_t0_t1,0.0012762360043000718,0.006407219862977895
t1_early_day,0.001753873859354988,0.0008044820713379358
t1_morning_short,7.061052442616093e-06,0.0
