,importance
ph0,0.15547375258608917
photo_temp_interaction,0.1376617484965983
soil_temp_mean,0.10473669818350088
ET0_per_hour,0.08590540741254879
transpiration_pull,0.058541927931064906
ec0_x_p48_salt,0.044084414911251944
temp_x_canopy,0.03925088454610228
ec0,0.0331171993048192
ec_log_anchor,0.030854688549723303
hist_salt_buildup,0.027475280669036792
salt_event_pos,0.024138392498825503
hour_sin_b,0.0213994698716175
log_ec_drive,0.020290834441759904
irr_to_et0,0.01964017307420896
hist48_irr_prevday,0.01752326066923955
soil_delta,0.017193915110761196
hist_hrs_since_fert,0.015862629000394243
hist_dark_recent_6h,0.013153814964847967
hist_irr_prior,0.01177590401432867
salt_recency_pressure,0.010480862415232911
hist_irr_recent,0.010396750378835081
hrs_since_fert,0.010156735566288228
stage_x_salt_conc,0.009756294722684583
irr_after_last_salt,0.009608722092672417
temp_trend,0.00925082527238377
pre_salt_irr_ratio_24h,0.00888250174111055
salt_conc_t0_t1,0.008377153592957888
rad_t1_log,0.007999562794031119
rad_morning,0.007123734174534856
fert_salt_total_t0_t1,0.006839568265535067
hour_cos_b,0.005722044123387873
irr_total_t0_t1,0.00510855155071274
gap_hours,0.004873079240846455
ET0_sum_t0_t1,0.003249042265203397
pre_salt_irr_ratio_6h,0.003163091620274672
t1_early_day,0.0009255147847883366
t1_morning_short,5.569161800986951e-06
