,ph_xgb_gain_importance,ec_xgb_gain_importance
ph0,0.18748567322998352,0.007353268398767595
photo_temp_interaction,0.15841715092416647,0.04162564084554192
soil_temp_mean,0.11717529364312974,0.04718280122787249
ET0_per_hour,0.10288278490124485,0.007350377808718276
transpiration_pull,0.0596630716908731,0.053354349266425835
ec0_x_p48_salt,0.015858012392159185,0.17468914976934852
temp_x_canopy,0.04171427029080255,0.027852696561566477
ec0,0.0218966669947972,0.08503506756046647
ec_log_anchor,0.021677693314172297,0.07331702602692859
hist_salt_buildup,0.021733348679492007,0.0540434380727463
salt_event_pos,0.027952487519209777,0.006490416688804122
hour_sin_b,0.024567286031652053,0.00674185314626072
log_ec_drive,0.0056677317688962146,0.08795253685318967
irr_to_et0,0.020458409610093462,0.015854158694653574
hist48_irr_prevday,0.008361884388710397,0.05991332859392184
soil_delta,0.018966161087205096,0.008993659491922802
hist_hrs_since_fert,0.01771621078081372,0.0072860292439876715
hist_dark_recent_6h,0.015624883976194747,0.0017200761869536117
hist_irr_prior,0.012637475957685952,0.007789374907502551
salt_recency_pressure,0.009313217312176573,0.015883604723250178
hist_irr_recent,0.010354298655150217,0.010593176264577358
hrs_since_fert,0.009349248918632055,0.013893009767269092
stage_x_salt_conc,0.0025525854872555922,0.04308815605540766
irr_after_last_salt,0.01056144756949605,0.005200421806834081
temp_trend,0.006591733018032428,0.021554555392007166
pre_salt_irr_ratio_24h,0.009092631862212758,0.007910220957766298
salt_conc_t0_t1,0.004732309420565184,0.02524199871136896
rad_t1_log,0.00721235711311701,0.011641996120950135
rad_morning,0.0073236224299517445,0.006198842928393523
fert_salt_total_t0_t1,0.005151347252509079,0.014651036894560097
hour_cos_b,0.004370635661537569,0.011975067112256522
irr_total_t0_t1,0.002668180295644725,0.016400250537428773
gap_hours,0.00502983539325885,0.004147762023771132
ET0_sum_t0_t1,0.0033228487109462006,0.00290753678038162
pre_salt_irr_ratio_6h,0.0014255791918533834,0.011202633672192654
t1_early_day,0.00048485175275654537,0.0029644809060057867
t1_morning_short,6.772773621488019e-06,0.0
