,importance
photo_temp_interaction,0.18308539725346215
ph0,0.15184441309421354
soil_temp_mean,0.12871960109260355
ET0_per_hour,0.04337806967074414
ec0,0.03955440102795085
temp_x_canopy,0.035715937961448854
transpiration_pull,0.035552471904053605
hour_sin_b,0.02852548988101379
temp_trend,0.02841090856832602
ec_log_anchor,0.027714225648851818
soil_delta,0.026613788888957015
ec0_x_p48_salt,0.026366915608549122
hist_salt_buildup,0.025914066259350995
log_ec_drive,0.02164503772068309
hist48_irr_prevday,0.020804438312971723
hist_hrs_since_fert,0.017968824873750813
hist_dark_recent_6h,0.015767574328305202
irr_to_et0,0.015701802907854105
stage_x_salt_conc,0.012372967078691038
rad_t1_log,0.011757957676088532
rad_morning,0.009986129271696245
ET0_sum_t0_t1,0.009840764833491162
pre_salt_irr_ratio_24h,0.009828456657957393
hrs_since_fert,0.009435814800428086
hist_irr_prior,0.008853089242778316
hour_cos_b,0.007639144730231607
salt_event_pos,0.0066458907841100414
hist_irr_recent,0.006178500037252812
gap_hours,0.006018897453773355
salt_recency_pressure,0.004534498068270775
pre_salt_irr_ratio_6h,0.004513263817037373
salt_conc_t0_t1,0.0042527553524484675
irr_after_last_salt,0.0042423846109399185
fert_salt_total_t0_t1,0.004193541349621484
irr_total_t0_t1,0.003828953587298549
t1_early_day,0.0019215319697034137
t1_morning_short,0.0006720936750911098
