,ph_xgb_gain_importance,ec_xgb_gain_importance
photo_temp_interaction,0.20373784039220838,0.08007577711343693
ph0,0.17897091400430196,0.016543686894228814
soil_temp_mean,0.1417373994444342,0.0637898272022817
ET0_per_hour,0.049280222356490454,0.013939494191675339
ec0,0.027920934352907625,0.0975794479948927
temp_x_canopy,0.03453093080397428,0.041626480183238425
transpiration_pull,0.03323839245143077,0.04709456616317313
hour_sin_b,0.03291129602214779,0.00665010101922753
temp_trend,0.026849585348479314,0.03619842846181859
ec_log_anchor,0.02132079276213513,0.05960319339116478
soil_delta,0.02955234983388531,0.01195692506602851
ec0_x_p48_salt,0.010740640511340601,0.10430716951231586
hist_salt_buildup,0.02589654367143441,0.02600146488396076
log_ec_drive,0.006468024404243273,0.0973444775440279
hist48_irr_prevday,0.01658267333366051,0.041861627717523234
hist_hrs_since_fert,0.019979142428453774,0.007941824858325596
hist_dark_recent_6h,0.018795727009087552,0.0006638476032003794
irr_to_et0,0.012332552205889814,0.03250684784293604
stage_x_salt_conc,0.005626159828631297,0.04602448459250775
rad_t1_log,0.009540319371616892,0.022819025745222623
rad_morning,0.009340977501746138,0.013203997410044748
ET0_sum_t0_t1,0.010404411193181683,0.007029426871441529
pre_salt_irr_ratio_24h,0.009393946237541285,0.01199569435730608
hrs_since_fert,0.008903877399057259,0.012088995796272602
hist_irr_prior,0.009472851178534133,0.005761859737844841
hour_cos_b,0.0060249103638398,0.015690573211689665
salt_event_pos,0.006883231685112036,0.0054620891441946725
hist_irr_recent,0.005016808864559294,0.011972747507891022
gap_hours,0.0058133590093850974,0.007044075779570771
salt_recency_pressure,0.002772867596137006,0.013321104308631029
pre_salt_irr_ratio_6h,0.003016027422111356,0.011981133417985367
salt_conc_t0_t1,0.00405223423840632,0.005252908392394826
irr_after_last_salt,0.004648599538829691,0.002216278298189481
fert_salt_total_t0_t1,0.0030679705845049134,0.009807628563247602
irr_total_t0_t1,0.0023642648938210064,0.011134482764882863
t1_early_day,0.0020043797307990074,0.001508306457226503
t1_morning_short,0.0008068420256807144,0.0
