,importance
ET0_per_hour,0.13870634201318008
photo_temp_interaction,0.13075661867355823
ph0,0.11654550424843785
soil_temp_mean,0.09316158751649663
transpiration_pull,0.05297343004482351
ec0_x_p48_salt,0.04657386394276699
temp_x_canopy,0.045989963499254966
ec0,0.032169222252057435
hist_salt_buildup,0.027467547430467205
ec_log_anchor,0.02606684633869666
log_ec_drive,0.02320529038762375
irr_to_et0,0.0212247730103634
hist48_irr_prevday,0.020733026473516415
soil_delta,0.01810707805603018
hour_sin_b,0.01803135413042297
ET0_sum_t0_t1,0.017452867673970238
temp_trend,0.01694565921992663
pre_salt_irr_ratio_24h,0.01526245149160415
irr_after_last_salt,0.013446030555123492
rad_t1_log,0.012615949869655044
stage_x_salt_conc,0.012600625610245306
hist_hrs_since_fert,0.011981590926647195
irr_total_t0_t1,0.0104391629308305
rad_morning,0.008026799210928104
hist_irr_recent,0.007997048403089397
hist_dark_recent_6h,0.007900921879503744
hrs_since_fert,0.0078117110521329445
hist_irr_prior,0.007627097910001376
fert_salt_total_t0_t1,0.007161515569620144
salt_event_pos,0.005533494665832438
hour_cos_b,0.004883134808482572
gap_hours,0.004875713342438228
salt_conc_t0_t1,0.004775350728450266
salt_recency_pressure,0.004646689129453888
pre_salt_irr_ratio_6h,0.004073746012183335
t1_early_day,0.002216060186778587
t1_morning_short,1.3930805406171476e-05
