,ph_xgb_gain_importance,ec_xgb_gain_importance
ET0_per_hour,0.16884742337957073,0.006071083459283247
photo_temp_interaction,0.15170232775721773,0.038585421955855306
ph0,0.13733485717880553,0.025062349826439595
soil_temp_mean,0.10069263415117649,0.06002135922043956
transpiration_pull,0.05360430568260793,0.05019727373126154
ec0_x_p48_salt,0.015360806127645529,0.18392633458712448
temp_x_canopy,0.051247120968650355,0.022855941473445135
ec0,0.020496111760379545,0.08353652422013888
hist_salt_buildup,0.023499386597732548,0.044929364132906005
ec_log_anchor,0.01583096627081201,0.07110964300638414
log_ec_drive,0.007355407231475961,0.09295240147863025
irr_to_et0,0.020445260584061296,0.02465500270092263
hist48_irr_prevday,0.0178880638194923,0.033252230831374345
soil_delta,0.01949749611509788,0.011988569681340901
hour_sin_b,0.019950432616932134,0.009586485542290954
ET0_sum_t0_t1,0.020472816810609546,0.0041636386085388095
temp_trend,0.016116966540933524,0.020592305682403358
pre_salt_irr_ratio_24h,0.015047189334890609,0.016209708541392913
irr_after_last_salt,0.014790606800164773,0.0075292482161415444
rad_t1_log,0.010421472797788297,0.02227270472458209
stage_x_salt_conc,0.005422008835964408,0.04418999297042851
hist_hrs_since_fert,0.01324663658764003,0.006414781418765159
irr_total_t0_t1,0.007926824497359182,0.021494660696412596
rad_morning,0.00763104576373866,0.009768304771179789
hist_irr_recent,0.007631730823026899,0.009604621505622565
hist_dark_recent_6h,0.009372845967518069,0.0014237477657978474
hrs_since_fert,0.005644974566384146,0.01734639398245103
hist_irr_prior,0.007994377725986424,0.006010890025398926
fert_salt_total_t0_t1,0.008460913689954495,0.001443538714046155
salt_event_pos,0.005556613966613265,0.005431758619956202
hour_cos_b,0.0043257948887608965,0.007335698585345654
gap_hours,0.004131476146975399,0.008150715046780195
salt_conc_t0_t1,0.002894672111127894,0.0130512414184069
salt_recency_pressure,0.003508299100977169,0.009656152921637278
pre_salt_irr_ratio_6h,0.003401817452178853,0.007030554933621647
t1_early_day,0.002241196050925132,0.0021054502919468066
t1_morning_short,7.119298824330316e-06,4.3904711306955616e-05
