,importance
ph0,0.19252951496079299
photo_temp_interaction,0.10369923931015877
transpiration_pull,0.07481560584344613
ET0_per_hour,0.07032293781407013
hist_salt_buildup,0.04118634776426787
soil_delta,0.04102544829677053
ec0_x_p48_salt,0.040755831786185664
ec0,0.03798145665991557
temp_x_canopy,0.03679784997180651
hour_sin_b,0.036134936667625
soil_temp_mean,0.03406602520939398
ec_log_anchor,0.028529118123475403
pre_anchor_salt_buildup,0.02426173182871633
hist_hrs_since_fert,0.024165523426713593
temp_trend,0.02015887283600601
log_ec_drive,0.018989195952465687
irr_to_et0,0.01757847284917746
rad_t1_log,0.015092008602775745
fert_salt_total_t0_t1,0.014782922364975238
hist48_irr_prevday,0.014406025528270295
stage_x_salt_conc,0.013476215981732565
pre_salt_irr_ratio_24h,0.011781261229175145
hist_dark_recent_6h,0.01153754809177574
hrs_since_fert,0.010294171142607276
hour_cos_b,0.008579654828774094
hist_irr_prior,0.008247689591962416
salt_conc_t0_t1,0.008222392822167447
hist_irr_recent,0.006884757767009706
salt_recency_pressure,0.005869264466307237
salt_event_pos,0.005862612325295409
rad_morning,0.004567801408468045
pre_salt_irr_ratio_6h,0.00450170189773847
gap_hours,0.004217535895438012
irr_total_t0_t1,0.0035229737352544597
irr_after_last_salt,0.0025147638303975144
ET0_sum_t0_t1,0.0015186582296173527
t1_early_day,0.0011157753479081114
t1_morning_short,6.155611361917759e-06
