,ph_xgb_gain_importance,ec_xgb_gain_importance
ph0,0.23235373414570687,0.016877593594286103
photo_temp_interaction,0.12244747053301822,0.021006774676318462
transpiration_pull,0.08163318547494562,0.044745437843876426
ET0_per_hour,0.08515678351179042,0.0048955784988647345
hist_salt_buildup,0.04253328841746782,0.03524542240418316
soil_delta,0.04842741058382791,0.008377754902782347
ec0_x_p48_salt,0.009783102079938313,0.1773666579170533
ec0,0.027343073474827898,0.08490396976725775
temp_x_canopy,0.036111728833490335,0.03982411134496274
hour_sin_b,0.04250514366239802,0.008037986594637368
soil_temp_mean,0.03080713405477476,0.04843995405342835
ec_log_anchor,0.017911597008884644,0.07535961529575425
pre_anchor_salt_buildup,0.027251984956099932,0.011072679589969416
hist_hrs_since_fert,0.027854901060027373,0.007892856110145756
temp_trend,0.018771627938298077,0.026277567355962577
log_ec_drive,0.0032283685735626116,0.08850517562743943
irr_to_et0,0.01485962261314679,0.029570453549391175
rad_t1_log,0.013618878093343712,0.02158951714660627
fert_salt_total_t0_t1,0.01756080305126492,0.0025305771875829626
hist48_irr_prevday,0.013463815755454243,0.018561812140356203
stage_x_salt_conc,0.004031294989761811,0.055134748235466824
pre_salt_irr_ratio_24h,0.011027560992573394,0.015105592437748835
hist_dark_recent_6h,0.013185632201413595,0.004268375051939686
hrs_since_fert,0.00878981844942462,0.016929390774747928
hour_cos_b,0.0059988888996437536,0.019962589719326507
hist_irr_prior,0.006985705003728067,0.013813900862270415
salt_conc_t0_t1,0.004862536110124156,0.023041648517960825
hist_irr_recent,0.005057635389012865,0.014943611470498339
salt_recency_pressure,0.004309502436800241,0.01274887699769901
salt_event_pos,0.006475996076995913,0.003157172351170207
rad_morning,0.0037406832734289117,0.008215955536540497
pre_salt_irr_ratio_6h,0.0017947020309566004,0.016441414401109727
gap_hours,0.0037596784793302762,0.006236998837769695
irr_total_t0_t1,0.0017455721835973005,0.011362524741609386
irr_after_last_salt,0.002366087513354761,0.0031705276164744186
ET0_sum_t0_t1,0.0010010706020119643,0.0038015720726302213
t1_early_day,0.0012439815455731846,0.0005502987255944447
t1_morning_short,0.0,3.3306048584198557e-05
