,importance
photo_temp_interaction,0.1466766227229535
ET0_per_hour,0.13246886012519635
ph0,0.11603777258407867
transpiration_pull,0.08856053202732143
soil_temp_mean,0.08241758526982124
temp_x_canopy,0.0416464937495346
ec0_x_p48_salt,0.04119332459192269
ec0,0.032763871935437554
hist_salt_buildup,0.02716513012218425
log_ec_drive,0.026143583727233986
temp_trend,0.023062952171139444
pre_anchor_salt_buildup,0.021094832047091314
ec_log_anchor,0.020420416775228278
soil_delta,0.016639623940129956
hist_hrs_since_fert,0.014411100260440965
hist_dark_recent_6h,0.012428887344437523
irr_after_last_salt,0.01237782254734701
irr_to_et0,0.011516137868877209
hist48_irr_prevday,0.010680934541469329
hour_sin_b,0.010580383377899035
hist_irr_prior,0.01000027534447318
fert_salt_total_t0_t1,0.008951201417209982
ET0_sum_t0_t1,0.00849112798132918
stage_x_salt_conc,0.008283071876105727
rad_morning,0.008255405771420834
salt_event_pos,0.008164614489593654
rad_t1_log,0.008021478887299377
hrs_since_fert,0.007809005480083621
hist_irr_recent,0.006923577714252985
hour_cos_b,0.00674101859261337
pre_salt_irr_ratio_24h,0.006473320788958753
irr_total_t0_t1,0.005690290116547131
gap_hours,0.005274987481550203
salt_conc_t0_t1,0.005196163180543188
salt_recency_pressure,0.00433120534786475
pre_salt_irr_ratio_6h,0.002651387865182983
t1_early_day,0.0003618344392637409
t1_morning_short,9.316549596312702e-05
