,ph_xgb_gain_importance,ec_xgb_gain_importance
photo_temp_interaction,0.16572702677309048,0.056229773046706115
ET0_per_hour,0.15937695498617765,0.004715537699057061
ph0,0.13864542649720324,0.008701935001237464
transpiration_pull,0.09860122757918838,0.04088966484599519
soil_temp_mean,0.0941993144789908,0.026480698687074342
temp_x_canopy,0.04089595576982184,0.04520987201955636
ec0_x_p48_salt,0.010652675963786494,0.18619316019720775
ec0,0.018541806000194262,0.1002869048509192
hist_salt_buildup,0.025783170075769954,0.03372635224889886
log_ec_drive,0.00601492297102521,0.12170974331154473
temp_trend,0.023400279111110946,0.021461402988715003
pre_anchor_salt_buildup,0.023443148000943284,0.009945578755067007
ec_log_anchor,0.014262099038718395,0.04965866479908951
soil_delta,0.018152575941083417,0.009456482740737284
hist_hrs_since_fert,0.01522462847707379,0.010548659121474872
hist_dark_recent_6h,0.014492054529124613,0.002633453519556626
irr_after_last_salt,0.013692754988536952,0.006134831767218506
irr_to_et0,0.009777643382321627,0.019770101883217702
hist48_irr_prevday,0.005257023052782627,0.03643239397421497
hour_sin_b,0.011071029294902193,0.008250911657369808
hist_irr_prior,0.010566075454833792,0.00731398914319847
fert_salt_total_t0_t1,0.005817795537424778,0.023827877514878543
ET0_sum_t0_t1,0.009333235269664302,0.004493000113864257
stage_x_salt_conc,0.0039292896308579656,0.028953808686866783
rad_morning,0.00908507987785701,0.004316307735095013
salt_event_pos,0.008861480943823836,0.004856056032550126
rad_t1_log,0.005917851835208257,0.01800900667172997
hrs_since_fert,0.0055264735881941085,0.018645931477224674
hist_irr_recent,0.006363397780947461,0.009583180633224686
hour_cos_b,0.006057897721969687,0.009984316243162247
pre_salt_irr_ratio_24h,0.006468755702374115,0.006494994749206153
irr_total_t0_t1,0.002520786304900405,0.020738350727011842
gap_hours,0.005065472676516825,0.006269714628855287
salt_conc_t0_t1,0.0038668318797021313,0.011507516368678666
salt_recency_pressure,0.0017916283951023005,0.01638852099761421
pre_salt_irr_ratio_6h,0.0014383906722470823,0.008410413998090342
t1_early_day,7.882513044550336e-05,0.0017054962505457794
t1_morning_short,9.901468608402902e-05,6.539491334447578e-05
