,ph_xgb_gain_importance,ec_xgb_gain_importance
photo_temp_interaction,0.15644783202480103,0.03528023591699441
ET0_per_hour,0.1616377367511906,0.006602492299958053
ph0,0.1495554892625749,0.007759510092847144
soil_temp_mean,0.10824863923295147,0.03677933278392571
ec0_x_p48_salt,0.011441011906668368,0.2018299739718376
transpiration_pull,0.042972253087937486,0.0459488869237429
temp_trend,0.04967170738334122,0.01442430552879322
ec0,0.025982961475246393,0.09679589325386076
temp_x_canopy,0.027107274142932774,0.03792191551743841
pre_anchor_salt_buildup,0.030859202728952356,0.00784826491465145
ec_log_anchor,0.01648967288901291,0.06940602839094791
hist_salt_buildup,0.023063778468034514,0.03396943217013867
irr_to_et0,0.01832102650466845,0.02659833758852676
hist_hrs_since_fert,0.01956108404124948,0.010638620984315119
log_ec_drive,0.004897055039777326,0.06515274566155979
hour_sin_b,0.015347672971534786,0.010116370555572273
stage_x_salt_conc,0.0024464908675225273,0.065001558635473
soil_delta,0.014295127997709139,0.01125305067878676
hist48_irr_prevday,0.010905200848114234,0.020055570892960454
hist_dark_recent_6h,0.014141402812158794,0.001559597406193574
rad_t1_log,0.008971249331648503,0.020761570865111493
pre_salt_irr_ratio_24h,0.00831232147843306,0.01586340141317419
salt_conc_t0_t1,0.002868547389967415,0.03959758832517771
hist_irr_prior,0.008542619188380462,0.012744121209578602
rad_morning,0.009652270748027596,0.006135314506496839
salt_event_pos,0.009649037973116413,0.0052632109605396625
irr_after_last_salt,0.008930994715921538,0.007163113562552118
ET0_sum_t0_t1,0.00783002273101343,0.0030709202681412405
fert_salt_total_t0_t1,0.0045425126334451065,0.013551528983726193
hrs_since_fert,0.004237693706086353,0.01427981486131972
hour_cos_b,0.00461844242260441,0.012366452494691588
gap_hours,0.006077617452505732,0.005595470603534305
pre_salt_irr_ratio_6h,0.003917567796018721,0.010797885245945082
irr_total_t0_t1,0.0020988219606431794,0.012087836916845479
hist_irr_recent,0.0035831934063898395,0.005352614958557575
salt_recency_pressure,0.0011918276836123973,0.007098008675627306
t1_early_day,0.0014438937950072834,0.003329021980456943
t1_morning_short,0.00013874515079985417,0.0
