,importance
ph0,0.18562155575526845
photo_temp_interaction,0.13354625678686374
soil_temp_mean,0.0734580263081549
hist_salt_buildup,0.053597691774168225
ec0_x_p48_salt,0.04834795539897652
transpiration_pull,0.04472527243154127
soil_delta,0.04110055767360994
ec0,0.035467811945913856
ph_phase_transition,0.03458704386736013
temp_x_canopy,0.03389127860937626
t0_hour_sin,0.03353474654920733
pre_anchor_salt_buildup,0.025266146324036592
hist_hrs_since_fert,0.024315754196005877
hour_sin_b,0.02278092203435292
hist48_irr_prevday,0.022007321621526105
log_ec_drive,0.02012091575218402
irr_to_et0,0.02007886111205916
rad_t1_log,0.017588580644606208
hist_dark_recent_6h,0.013611763427807181
stage_x_salt_conc,0.013090116688960634
hist_irr_recent,0.011568685585006734
temp_trend,0.010003158407960877
salt_event_pos,0.009483182167864774
fert_salt_total_t0_t1,0.009202544641423348
t0_hour_cos,0.008263507215731528
ET0_per_night,0.007509741152556426
hour_cos_b,0.007361049036042141
hist_irr_prior,0.007067825373383151
salt_recency_pressure,0.005909951824172942
ph_diurnal_amplitude,0.00462585330805371
irr_total_t0_t1,0.004407858126255021
pre_salt_irr_ratio_6h,0.004335586269772868
gap_hours,0.004279805580079991
irr_after_last_salt,0.004201001703508265
rad_morning,0.003630848470441474
t1_early_day,0.0013274771116867825
t0_is_afternoon,8.173016332178235e-05
t1_morning_short,1.6149607588718336e-06
